id,zone_id,zone_name,location,timestamp,flow_rate,total_volume,pressure,is_anomaly,anomaly_score,label,hour,day_of_week,is_night,baseline_flow,flow_ratio
1,1,Residential North,North Block,2024-04-01 00:00:00,0.7114,3.5568,3.448,False,0.0413,Normal,0,Monday,True,1.2,0.593
2,1,Residential North,North Block,2024-04-01 00:05:00,0.7123,3.5617,3.051,False,0.1338,Normal,0,Monday,True,1.2,0.594
3,1,Residential North,North Block,2024-04-01 00:10:00,0.707,3.5349,3.535,False,0.0328,Normal,0,Monday,True,1.2,0.589
4,1,Residential North,North Block,2024-04-01 00:15:00,0.7594,3.797,3.533,False,0.0975,Normal,0,Monday,True,1.2,0.633
5,1,Residential North,North Block,2024-04-01 00:20:00,3.734,18.6698,4.287,True,0.7932,Leak Risk,0,Monday,True,1.2,3.112
6,1,Residential North,North Block,2024-04-01 00:25:00,0.7013,3.5063,3.647,False,0.1436,Normal,0,Monday,True,1.2,0.584
7,1,Residential North,North Block,2024-04-01 00:30:00,0.7426,3.713,3.574,False,0.1271,Normal,0,Monday,True,1.2,0.619
8,1,Residential North,North Block,2024-04-01 00:35:00,0.7541,3.7705,3.046,False,0.0804,Normal,0,Monday,True,1.2,0.628
9,1,Residential North,North Block,2024-04-01 00:40:00,0.6651,3.3253,3.763,False,0.1244,Normal,0,Monday,True,1.2,0.554
10,1,Residential North,North Block,2024-04-01 00:45:00,2.347,11.7348,2.899,True,0.6215,Anomaly,0,Monday,True,1.2,1.956
11,1,Residential North,North Block,2024-04-01 00:50:00,0.7583,3.7915,3.605,False,0.0152,Normal,0,Monday,True,1.2,0.632
12,1,Residential North,North Block,2024-04-01 00:55:00,0.6824,3.4119,3.285,False,0.0555,Normal,0,Monday,True,1.2,0.569
13,1,Residential North,North Block,2024-04-01 01:00:00,0.7213,3.6067,4.201,False,0.0972,Normal,1,Monday,True,1.2,0.601
14,1,Residential North,North Block,2024-04-01 01:05:00,0.7825,3.9123,3.927,False,0.0245,Normal,1,Monday,True,1.2,0.652
15,1,Residential North,North Block,2024-04-01 01:10:00,0.8219,4.1097,3.472,False,0.0835,Normal,1,Monday,True,1.2,0.685
16,1,Residential North,North Block,2024-04-01 01:15:00,2.5571,12.7854,2.634,True,0.6125,Anomaly,1,Monday,True,1.2,2.131
17,1,Residential North,North Block,2024-04-01 01:20:00,0.7712,3.856,4.196,False,0.1315,Normal,1,Monday,True,1.2,0.643
18,1,Residential North,North Block,2024-04-01 01:25:00,0.7026,3.5132,3.251,False,0.1372,Normal,1,Monday,True,1.2,0.586
19,1,Residential North,North Block,2024-04-01 01:30:00,0.7321,3.6607,3.725,False,0.0842,Normal,1,Monday,True,1.2,0.61
20,1,Residential North,North Block,2024-04-01 01:35:00,0.6259,3.1294,3.175,False,0.0599,Normal,1,Monday,True,1.2,0.522
21,1,Residential North,North Block,2024-04-01 01:40:00,2.0632,10.3158,3.489,True,0.7635,Anomaly,1,Monday,True,1.2,1.719
22,1,Residential North,North Block,2024-04-01 01:45:00,0.7528,3.7639,3.197,False,0.0095,Normal,1,Monday,True,1.2,0.627
23,1,Residential North,North Block,2024-04-01 01:50:00,0.81,4.0499,3.491,False,0.1457,Normal,1,Monday,True,1.2,0.675
24,1,Residential North,North Block,2024-04-01 01:55:00,0.8319,4.1597,3.535,False,0.1023,Normal,1,Monday,True,1.2,0.693
25,1,Residential North,North Block,2024-04-01 02:00:00,0.7752,3.8762,3.927,False,0.0167,Normal,2,Monday,True,1.2,0.646
26,1,Residential North,North Block,2024-04-01 02:05:00,0.6418,3.2088,3.713,False,0.1314,Normal,2,Monday,True,1.2,0.535
27,1,Residential North,North Block,2024-04-01 02:10:00,0.7467,3.7333,3.499,False,0.1369,Normal,2,Monday,True,1.2,0.622
28,1,Residential North,North Block,2024-04-01 02:15:00,0.7586,3.7932,3.909,False,0.0913,Normal,2,Monday,True,1.2,0.632
29,1,Residential North,North Block,2024-04-01 02:20:00,0.7902,3.9509,3.128,False,0.1168,Normal,2,Monday,True,1.2,0.658
30,1,Residential North,North Block,2024-04-01 02:25:00,0.8374,4.1871,3.501,False,0.0029,Normal,2,Monday,True,1.2,0.698
31,1,Residential North,North Block,2024-04-01 02:30:00,3.9072,19.5361,2.718,True,0.8977,Leak Risk,2,Monday,True,1.2,3.256
32,1,Residential North,North Block,2024-04-01 02:35:00,0.8437,4.2187,3.677,False,0.0104,Normal,2,Monday,True,1.2,0.703
33,1,Residential North,North Block,2024-04-01 02:40:00,0.7874,3.9372,3.344,False,0.0713,Normal,2,Monday,True,1.2,0.656
34,1,Residential North,North Block,2024-04-01 02:45:00,0.7728,3.864,4.106,False,0.0635,Normal,2,Monday,True,1.2,0.644
35,1,Residential North,North Block,2024-04-01 02:50:00,0.6902,3.4508,3.381,False,0.0302,Normal,2,Monday,True,1.2,0.575
36,1,Residential North,North Block,2024-04-01 02:55:00,0.8712,4.356,3.487,False,0.0657,Normal,2,Monday,True,1.2,0.726
37,1,Residential North,North Block,2024-04-01 03:00:00,0.8916,4.458,3.647,False,0.0507,Normal,3,Monday,True,1.2,0.743
38,1,Residential North,North Block,2024-04-01 03:05:00,0.8659,4.3293,3.71,False,0.0106,Normal,3,Monday,True,1.2,0.722
39,1,Residential North,North Block,2024-04-01 03:10:00,2.3712,11.8561,4.792,True,0.781,Anomaly,3,Monday,True,1.2,1.976
40,1,Residential North,North Block,2024-04-01 03:15:00,0.8677,4.3386,3.656,False,0.1403,Normal,3,Monday,True,1.2,0.723
41,1,Residential North,North Block,2024-04-01 03:20:00,0.757,3.785,3.59,False,0.1211,Normal,3,Monday,True,1.2,0.631
42,1,Residential North,North Block,2024-04-01 03:25:00,0.9129,4.5643,3.682,False,0.0635,Normal,3,Monday,True,1.2,0.761
43,1,Residential North,North Block,2024-04-01 03:30:00,0.8488,4.2441,3.055,False,0.1476,Normal,3,Monday,True,1.2,0.707
44,1,Residential North,North Block,2024-04-01 03:35:00,0.8159,4.0794,3.657,False,0.1293,Normal,3,Monday,True,1.2,0.68
45,1,Residential North,North Block,2024-04-01 03:40:00,0.8846,4.423,3.805,False,0.0633,Normal,3,Monday,True,1.2,0.737
46,1,Residential North,North Block,2024-04-01 03:45:00,0.8608,4.3038,4.18,False,0.0665,Normal,3,Monday,True,1.2,0.717
47,1,Residential North,North Block,2024-04-01 03:50:00,0.8422,4.2111,3.47,False,0.1499,Normal,3,Monday,True,1.2,0.702
48,1,Residential North,North Block,2024-04-01 03:55:00,0.995,4.9752,3.367,False,0.1273,Normal,3,Monday,True,1.2,0.829
49,1,Residential North,North Block,2024-04-01 04:00:00,2.7095,13.5477,3.537,True,0.9138,Anomaly,4,Monday,True,1.2,2.258
50,1,Residential North,North Block,2024-04-01 04:05:00,0.95,4.7499,4.023,False,0.0683,Normal,4,Monday,True,1.2,0.792
51,1,Residential North,North Block,2024-04-01 04:10:00,1.1499,5.7495,3.239,False,0.0834,Normal,4,Monday,True,1.2,0.958
52,1,Residential North,North Block,2024-04-01 04:15:00,0.9883,4.9417,3.708,False,0.1453,Normal,4,Monday,True,1.2,0.824
53,1,Residential North,North Block,2024-04-01 04:20:00,0.8639,4.3193,3.369,False,0.0086,Normal,4,Monday,True,1.2,0.72
54,1,Residential North,North Block,2024-04-01 04:25:00,0.8426,4.2129,3.489,False,0.0236,Normal,4,Monday,True,1.2,0.702
55,1,Residential North,North Block,2024-04-01 04:30:00,0.9937,4.9685,3.593,False,0.0893,Normal,4,Monday,True,1.2,0.828
56,1,Residential North,North Block,2024-04-01 04:35:00,0.9628,4.8141,3.651,False,0.1335,Normal,4,Monday,True,1.2,0.802
57,1,Residential North,North Block,2024-04-01 04:40:00,0.8909,4.4544,3.267,False,0.0629,Normal,4,Monday,True,1.2,0.742
58,1,Residential North,North Block,2024-04-01 04:45:00,0.8213,4.1063,3.4,False,0.0306,Normal,4,Monday,True,1.2,0.684
59,1,Residential North,North Block,2024-04-01 04:50:00,0.9643,4.8214,3.8,False,0.1008,Normal,4,Monday,True,1.2,0.804
60,1,Residential North,North Block,2024-04-01 04:55:00,0.9195,4.5977,3.958,False,0.0109,Normal,4,Monday,True,1.2,0.766
61,1,Residential North,North Block,2024-04-01 05:00:00,1.2756,6.3779,3.49,False,0.011,Normal,5,Monday,True,1.2,1.063
62,1,Residential North,North Block,2024-04-01 05:05:00,1.0625,5.3123,4.195,False,0.1321,Normal,5,Monday,True,1.2,0.885
